file_metadta,cruise_id,station,site,mesh,date_time,date,time_gmt,lat_in,lon_in,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,flowmeter_in,flowmeter_out,flowmeter_diff,ship_speed_knots,inpeller_constant,split_size,notes,tow_time_min,net_size,net_area,distance_m,tow_speed_m_sec,volume_filt_cubic_m,taxa_orig,taxa,lifeStage,scientificName,scientificNameID,match_type,date_analyzed,pipette_vol_m_l,dillution,dillution_factor,split_amount,splits_analyzed,individualCount,aliquot_1,aliquot_2,aliquot_3,mean,ind_m3,number_ind_sample,total_split_amount,total_split_frac,aphiaID,url,scientificname,authority,status,unacceptreason,taxon_rank_id,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,citation,lsid,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,modified
fknms_sample_logsheet_June2017.xlsx,WS17170,Molasses Reef,MR,500,2017-06-19T00:21:00Z,2017-06-19T00:00:00Z,00:21:00,25.01,-80.38,500,0,36.5,999,9907,8908,1.5,0.245,0.5,,5,0.5,0.19634954084936207,2182.46,7.274866666666667,428.5250189220987,Fish Larvae,Actinopterygii,larvae,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,exact,2022-01-29,5,500,100,0,,1,0,1,0,0.3333333333333333,0.15557240236371345,66.66666666666666,2,0.5,10194,https://www.marinespecies.org/aphia.php?p=taxdetails&id=10194,Actinopterygii,,accepted,,48,Gigaclass,10194,Actinopterygii,,152352,Animalia,Chordata,,,,,WoRMS (2025). Actinopterygii. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=10194 on 2025-02-06,urn:lsid:marinespecies.org:taxname:10194,1,1,1,0,,2021-06-29T11:30:35Z
fknms_sample_logsheet_June2017.xlsx,WS17170,Molasses Reef,MR,500,2017-06-19T00:21:00Z,2017-06-19T00:00:00Z,00:21:00,25.01,-80.38,500,0,36.5,999,9907,8908,1.5,0.245,0.5,,5,0.5,0.19634954084936207,2182.46,7.274866666666667,428.5250189220987,Calocalanus spp.,Calocalanus,,Calocalanus,urn:lsid:marinespecies.org:taxname:104193,exact,2022-01-29,5,500,100,0,,1,1,0,0,0.3333333333333333,0.15557240236371345,66.66666666666666,2,0.5,104193,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104193,Calocalanus,"Giesbrecht, 1888",accepted,,180,Genus,104193,Calocalanus,"Giesbrecht, 1888",104093,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Calocalanus,"Walter, T.C.; Boxshall, G. (2025). World of Copepods Database. Calocalanus Giesbrecht, 1888. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104193 on 2025-02-06",urn:lsid:marinespecies.org:taxname:104193,1,0,0,0,,2024-05-04T12:17:07Z
fknms_sample_logsheet_June2017.xlsx,WS17170,Molasses Reef,MR,500,2017-06-19T00:21:00Z,2017-06-19T00:00:00Z,00:21:00,25.01,-80.38,500,0,36.5,999,9907,8908,1.5,0.245,0.5,,5,0.5,0.19634954084936207,2182.46,7.274866666666667,428.5250189220987,Corycaeus spp.,Corycaeus,,Corycaeus,urn:lsid:marinespecies.org:taxname:128634,exact,2022-01-29,5,500,100,0,,5,2,2,1,1.6666666666666667,0.7778620118185674,333.33333333333337,2,0.5,128634,https://www.marinespecies.org/aphia.php?p=taxdetails&id=128634,Corycaeus,"Dana, 1849",accepted,,180,Genus,128634,Corycaeus,"Dana, 1849",128569,Animalia,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Corycaeus,"Walter, T.C.; Boxshall, G. (2025). World of Copepods Database. Corycaeus Dana, 1849. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=128634 on 2025-02-06",urn:lsid:marinespecies.org:taxname:128634,1,1,0,0,,2024-12-18T12:51:18Z
fknms_sample_logsheet_June2017.xlsx,WS17170,Molasses Reef,MR,500,2017-06-19T00:21:00Z,2017-06-19T00:00:00Z,00:21:00,25.01,-80.38,500,0,36.5,999,9907,8908,1.5,0.245,0.5,,5,0.5,0.19634954084936207,2182.46,7.274866666666667,428.5250189220987,Euchaeta spp.,Euchaeta,,Euchaeta,urn:lsid:marinespecies.org:taxname:104174,exact,2022-01-29,5,500,100,0,,1,0,1,0,0.3333333333333333,0.15557240236371345,66.66666666666666,2,0.5,104174,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104174,Euchaeta,"Philippi, 1843",accepted,,180,Genus,104174,Euchaeta,"Philippi, 1843",104086,Animalia,Arthropoda,Copepoda,Calanoida,Euchaetidae,Euchaeta,"Walter, T.C.; Boxshall, G. (2025). World of Copepods Database. Euchaeta Philippi, 1843. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104174 on 2025-02-06",urn:lsid:marinespecies.org:taxname:104174,1,0,0,0,,2020-08-10T10:49:04Z
fknms_sample_logsheet_June2017.xlsx,WS17170,Molasses Reef,MR,500,2017-06-19T00:21:00Z,2017-06-19T00:00:00Z,00:21:00,25.01,-80.38,500,0,36.5,999,9907,8908,1.5,0.245,0.5,,5,0.5,0.19634954084936207,2182.46,7.274866666666667,428.5250189220987,Euterpina acuntifrons,Euterpina acuntifrons,,Euterpina acutifrons,urn:lsid:marinespecies.org:taxname:116162,near_1,2022-01-29,5,500,100,0,,2,0,2,0,0.6666666666666666,0.3111448047274269,133.33333333333331,2,0.5,116162,https://www.marinespecies.org/aphia.php?p=taxdetails&id=116162,Euterpina acutifrons,"(Dana, 1848)",accepted,,220,Species,116162,Euterpina acutifrons,"(Dana, 1848)",115348,Animalia,Arthropoda,Copepoda,Harpacticoida,Tachidiidae,Euterpina,"Walter, T.C.; Boxshall, G. (2025). World of Copepods Database. Euterpina acutifrons (Dana, 1848). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=116162 on 2025-02-06",urn:lsid:marinespecies.org:taxname:116162,1,1,0,0,,2024-06-06T14:59:25Z
fknms_sample_logsheet_June2017.xlsx,WS17170,Molasses Reef,MR,500,2017-06-19T00:21:00Z,2017-06-19T00:00:00Z,00:21:00,25.01,-80.38,500,0,36.5,999,9907,8908,1.5,0.245,0.5,,5,0.5,0.19634954084936207,2182.46,7.274866666666667,428.5250189220987,Farranula spp.,Farranula,,Farranula,urn:lsid:marinespecies.org:taxname:128636,exact,2022-01-29,5,500,100,0,,2,1,0,1,0.6666666666666666,0.3111448047274269,133.33333333333331,2,0.5,128636,https://www.marinespecies.org/aphia.php?p=taxdetails&id=128636,Farranula,"Wilson C.B., 1932",accepted,,180,Genus,128636,Farranula,"Wilson C.B., 1932",128569,Animalia,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Farranula,"Walter, T.C.; Boxshall, G. (2025). World of Copepods Database. Farranula Wilson C.B., 1932. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=128636 on 2025-02-06",urn:lsid:marinespecies.org:taxname:128636,1,0,0,0,,2024-07-09T16:15:37Z
fknms_sample_logsheet_June2017.xlsx,WS17170,Molasses Reef,MR,500,2017-06-19T00:21:00Z,2017-06-19T00:00:00Z,00:21:00,25.01,-80.38,500,0,36.5,999,9907,8908,1.5,0.245,0.5,,5,0.5,0.19634954084936207,2182.46,7.274866666666667,428.5250189220987,Isopods,Isopods,,Isopoda,urn:lsid:marinespecies.org:taxname:1131,exact,2022-01-29,5,500,100,0,,2,0,1,1,0.6666666666666666,0.3111448047274269,133.33333333333331,2,0.5,1131,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1131,Isopoda,"Latreille, 1816",accepted,,100,Order,1131,Isopoda,"Latreille, 1816",1090,Animalia,Arthropoda,Malacostraca,Isopoda,,,WoRMS (2025). Isopoda. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1131 on 2025-02-06,urn:lsid:marinespecies.org:taxname:1131,1,1,1,1,0,2022-10-20T02:25:09Z
fknms_sample_logsheet_June2017.xlsx,WS17170,Molasses Reef,MR,500,2017-06-19T00:21:00Z,2017-06-19T00:00:00Z,00:21:00,25.01,-80.38,500,0,36.5,999,9907,8908,1.5,0.245,0.5,,5,0.5,0.19634954084936207,2182.46,7.274866666666667,428.5250189220987,Polychaete Larvae,Polychaete,larvae,Polychaeta,urn:lsid:marinespecies.org:taxname:883,exact,2022-01-29,5,500,100,0,,1,0,0,1,0.3333333333333333,0.15557240236371345,66.66666666666666,2,0.5,883,https://www.marinespecies.org/aphia.php?p=taxdetails&id=883,Polychaeta,"Grube, 1850",accepted,,60,Class,883,Polychaeta,"Grube, 1850",882,Animalia,Annelida,Polychaeta,,,,WoRMS (2025). Polychaeta. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=883 on 2025-02-06,urn:lsid:marinespecies.org:taxname:883,1,1,1,1,0,2016-09-22T05:13:42Z
fknms_sample_logsheet_June2017.xlsx,WS17170,Molasses Reef,MR,500,2017-06-19T00:21:00Z,2017-06-19T00:00:00Z,00:21:00,25.01,-80.38,500,0,36.5,999,9907,8908,1.5,0.245,0.5,,5,0.5,0.19634954084936207,2182.46,7.274866666666667,428.5250189220987,Round Fish Eggs,Round Fish,eggs,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,exact,2022-01-29,5,500,100,0,,8,2,3,3,2.6666666666666665,1.2445792189097076,533.3333333333333,2,0.5,10194,https://www.marinespecies.org/aphia.php?p=taxdetails&id=10194,Actinopterygii,,accepted,,48,Gigaclass,10194,Actinopterygii,,152352,Animalia,Chordata,,,,,WoRMS (2025). Actinopterygii. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=10194 on 2025-02-06,urn:lsid:marinespecies.org:taxname:10194,1,1,1,0,,2021-06-29T11:30:35Z
fknms_sample_logsheet_June2017.xlsx,WS17170,Molasses Reef,MR,500,2017-06-19T00:21:00Z,2017-06-19T00:00:00Z,00:21:00,25.01,-80.38,500,0,36.5,999,9907,8908,1.5,0.245,0.5,,5,0.5,0.19634954084936207,2182.46,7.274866666666667,428.5250189220987,Salps,Salpidae,,Salpidae,urn:lsid:marinespecies.org:taxname:137217,near_1,2022-01-29,5,500,100,0,,15,3,5,7,5,2.333586035455702,1000,2,0.5,137217,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137217,Salpidae,"Lahille, 1888",accepted,,140,Family,137217,Salpidae,"Lahille, 1888",137214,Animalia,Chordata,Thaliacea,Salpida,Salpidae,,"WoRMS (2025). Salpidae Lahille, 1888. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137217 on 2025-02-06",urn:lsid:marinespecies.org:taxname:137217,1,0,0,0,0,2013-03-23T14:55:39Z
fknms_sample_logsheet_June2017.xlsx,WS17170,Molasses Reef,MR,500,2017-06-19T00:21:00Z,2017-06-19T00:00:00Z,00:21:00,25.01,-80.38,500,0,36.5,999,9907,8908,1.5,0.245,0.5,,5,0.5,0.19634954084936207,2182.46,7.274866666666667,428.5250189220987,Siphonophore,Siphonophorae,,Siphonophorae,urn:lsid:marinespecies.org:taxname:1371,exact,2022-01-29,5,500,100,0,,6,2,3,1,2,0.9334344141822808,400,2,0.5,1371,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1371,Siphonophorae,"Eschscholtz, 1829",accepted,,100,Order,1371,Siphonophorae,"Eschscholtz, 1829",19494,Animalia,Cnidaria,Hydrozoa,Siphonophorae,,,"Schuchert, P.; Cartwright, P.; Choong, H.; Galea, H. (2025). World Hydrozoa Database. Siphonophorae. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1371 on 2025-02-06",urn:lsid:marinespecies.org:taxname:1371,1,0,0,0,,2017-11-13T07:28:09Z
fknms_sample_logsheet_June2017.xlsx,WS17170,Molasses Reef,MR,500,2017-06-19T00:21:00Z,2017-06-19T00:00:00Z,00:21:00,25.01,-80.38,500,0,36.5,999,9907,8908,1.5,0.245,0.5,,5,0.5,0.19634954084936207,2182.46,7.274866666666667,428.5250189220987,Temora sp.,Temora,,Temora,urn:lsid:marinespecies.org:taxname:104241,exact,2022-01-29,5,500,100,0,,1,1,0,0,0.3333333333333333,0.15557240236371345,66.66666666666666,2,0.5,104241,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104241,Temora,"Baird, 1850",accepted,,180,Genus,104241,Temora,"Baird, 1850",104106,Animalia,Arthropoda,Copepoda,Calanoida,Temoridae,Temora,"Walter, T.C.; Boxshall, G. (2025). World of Copepods Database. Temora Baird, 1850. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104241 on 2025-02-06",urn:lsid:marinespecies.org:taxname:104241,1,0,0,0,,2024-03-23T20:29:09Z
fknms_sample_logsheet_June2017.xlsx,WS17170,Molasses Reef,MR,500,2017-06-19T00:21:00Z,2017-06-19T00:00:00Z,00:21:00,25.01,-80.38,500,0,36.5,999,9907,8908,1.5,0.245,0.5,,5,0.5,0.19634954084936207,2182.46,7.274866666666667,428.5250189220987,Undinula vulgaris,Undinula vulgaris,,Undinula vulgaris,urn:lsid:marinespecies.org:taxname:104473,exact,2022-01-29,5,500,100,0,,7,3,1,3,2.3333333333333335,1.0890068165459943,466.6666666666667,2,0.5,104473,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104473,Undinula vulgaris,"(Dana, 1849-1852)",accepted,,220,Species,104473,Undinula vulgaris,"(Dana, 1849-1852)",104156,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Undinula,"Walter, T.C.; Boxshall, G. (2025). World of Copepods Database. Undinula vulgaris (Dana, 1849-1852). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104473 on 2025-02-06",urn:lsid:marinespecies.org:taxname:104473,1,0,0,0,,2024-06-06T14:59:25Z
fknms_sample_logsheet_June2017.xlsx,WS17170,Looe Key (deep),LK,200,2017-06-20T15:33:00Z,2017-06-20T00:00:00Z,15:33:00,24.538,-81.413,500,0,40.5,9907,19811,9904,1.5,0.245,0.5,,5,0.5,0.19634954084936207,2426.48,8.088266666666668,476.43823388016006,Acartia spp.,Acartia,,Acartia,urn:lsid:marinespecies.org:taxname:104108,exact,2022-10-05,5,1000,200,2,0.25,1,0,1,0,0.3333333333333333,1.1194175769434243,533.3333333333333,8,0.125,104108,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104108,Acartia,"Dana, 1846",accepted,,180,Genus,104108,Acartia,"Dana, 1846",104074,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,"Walter, T.C.; Boxshall, G. (2025). World of Copepods Database. Acartia Dana, 1846. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104108 on 2025-02-06",urn:lsid:marinespecies.org:taxname:104108,1,0,0,0,,2019-10-06T10:25:33Z
fknms_sample_logsheet_June2017.xlsx,WS17170,Looe Key (deep),LK,200,2017-06-20T15:33:00Z,2017-06-20T00:00:00Z,15:33:00,24.538,-81.413,500,0,40.5,9907,19811,9904,1.5,0.245,0.5,,5,0.5,0.19634954084936207,2426.48,8.088266666666668,476.43823388016006,Calocalanus spp.,Calocalanus,,Calocalanus,urn:lsid:marinespecies.org:taxname:104193,exact,2022-10-05,5,1000,200,2,0.25,13,4,5,4,4.333333333333333,14.552428500264517,6933.333333333333,8,0.125,104193,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104193,Calocalanus,"Giesbrecht, 1888",accepted,,180,Genus,104193,Calocalanus,"Giesbrecht, 1888",104093,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Calocalanus,"Walter, T.C.; Boxshall, G. (2025). World of Copepods Database. Calocalanus Giesbrecht, 1888. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104193 on 2025-02-06",urn:lsid:marinespecies.org:taxname:104193,1,0,0,0,,2024-05-04T12:17:07Z
fknms_sample_logsheet_June2017.xlsx,WS17170,Looe Key (deep),LK,200,2017-06-20T15:33:00Z,2017-06-20T00:00:00Z,15:33:00,24.538,-81.413,500,0,40.5,9907,19811,9904,1.5,0.245,0.5,,5,0.5,0.19634954084936207,2426.48,8.088266666666668,476.43823388016006,Clausocalaus spp.,Clausocalaus,,Clausocalanus,urn:lsid:marinespecies.org:taxname:104161,near_1,2022-10-05,5,1000,200,2,0.25,11,2,8,1,3.6666666666666665,12.313593346377669,5866.666666666666,8,0.125,104161,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104161,Clausocalanus,"Giesbrecht, 1888",accepted,,180,Genus,104161,Clausocalanus,"Giesbrecht, 1888",104082,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,"Walter, T.C.; Boxshall, G. (2025). World of Copepods Database. Clausocalanus Giesbrecht, 1888. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104161 on 2025-02-06",urn:lsid:marinespecies.org:taxname:104161,1,0,0,0,,2024-05-08T21:07:08Z
fknms_sample_logsheet_June2017.xlsx,WS17170,Looe Key (deep),LK,200,2017-06-20T15:33:00Z,2017-06-20T00:00:00Z,15:33:00,24.538,-81.413,500,0,40.5,9907,19811,9904,1.5,0.245,0.5,,5,0.5,0.19634954084936207,2426.48,8.088266666666668,476.43823388016006,Clymenestra spp.,Clymenestra,,Clytemnestra,urn:lsid:marinespecies.org:taxname:115273,near_2,2022-10-05,5,1000,200,2,0.25,2,0,1,1,0.6666666666666666,2.2388351538868485,1066.6666666666665,8,0.125,115273,https://www.marinespecies.org/aphia.php?p=taxdetails&id=115273,Clytemnestra,"Dana, 1848",accepted,,180,Genus,115273,Clytemnestra,"Dana, 1848",587514,Animalia,Arthropoda,Copepoda,Harpacticoida,Peltidiidae,Clytemnestra,"Walter, T.C.; Boxshall, G. (2025). World of Copepods Database. Clytemnestra Dana, 1848. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=115273 on 2025-02-06",urn:lsid:marinespecies.org:taxname:115273,1,0,0,0,,2024-06-06T14:59:25Z
fknms_sample_logsheet_June2017.xlsx,WS17170,Looe Key (deep),LK,200,2017-06-20T15:33:00Z,2017-06-20T00:00:00Z,15:33:00,24.538,-81.413,500,0,40.5,9907,19811,9904,1.5,0.245,0.5,,5,0.5,0.19634954084936207,2426.48,8.088266666666668,476.43823388016006,Copepod nauplii,Copepod,nauplii,Copepoda,urn:lsid:marinespecies.org:taxname:1080,exact,2022-10-05,5,1000,200,2,0.25,80,36,19,25,26.666666666666668,89.55340615547397,42666.66666666667,8,0.125,1080,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1080,Copepoda,"Milne Edwards, 1840",accepted,,60,Class,1080,Copepoda,"Milne Edwards, 1840",845959,Animalia,Arthropoda,Copepoda,,,,WoRMS (2025). Copepoda. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1080 on 2025-02-06,urn:lsid:marinespecies.org:taxname:1080,1,1,1,1,,2022-05-16T08:06:50Z
